Player,Season,GP,TOI,CF,CA,CF60,CA60,CF%,CSh%,CSv%,FF,FA,FF60,FA60,FF%,FSh%,FSv%,SF,SA,SF60,SA60,SF%,Sh%,Sv%,xGF,xGA,xGF60,xGA60,xGF%,xFSh%,xFSv%,Adj.FSv%,SCF,SCA,SCF60,SCA60,SCF%,PDO,xPDO,GF,GA,GF60,GA60,GF%,FO%,PENDIFF
ALEX.PETROVIC,20122013,10.25,177.8033333,160.5833333,160.5833333,54.19,54.19,50,1.06,90.43,114.4583333,129.8333333,38.62,43.81,46.85,1.49,88.16,73.45833333,100.7916667,24.79,34.01,42.16,2.33,84.75,3.23,4.57,1.86,2.64,41.38,4.82,93.98,-5.82,15.375,30.75,5.19,10.38,33.33,87.07,98.8,1.708333333,15.375,0.58,5.19,10,41.94,-5.125
ALEX.PETROVIC,20132014,7,80.11,61,76,45.69,56.92,44.53,9.84,94.74,49,60,36.7,44.94,44.95,12.24,93.33,33,49,24.72,36.7,40.24,18.18,91.84,2.73,3.18,2.04,2.38,46.16,5.56,94.7,-1.37,8,9,5.99,6.74,47.06,110.02,100.26,6,4,4.49,3,60,47.14,-4
ALEX.PETROVIC,20142015,33,481.34,415,448,51.73,55.84,48.09,3.61,95.98,302,354,37.64,44.13,46.04,4.97,94.92,215,241,26.8,30.04,47.15,6.98,92.53,18.34,19.8,2.29,2.47,48.08,6.07,94.41,0.51,65,53,8.1,6.61,55.08,99.51,100.48,15,18,1.87,2.24,45.45,47.27,-10
ALEX.PETROVIC,20152016,66,944.61,784,833,49.8,52.91,48.48,5.61,96.4,610,630,38.75,40.02,49.19,7.21,95.24,436,466,27.69,29.6,48.34,10.09,93.56,36.96,35.44,2.35,2.25,51.05,6.06,94.38,0.86,126,111,8,7.05,53.16,103.65,100.43,44,30,2.79,1.91,59.46,48.81,13
ALEX.PICARD,20112012,17,204.25,202,142,59.34,41.71,58.72,6.44,93.66,156,103,45.83,30.26,60.23,8.33,91.26,112,78,32.9,22.91,58.95,11.61,88.46,9.71,7.39,2.85,2.17,56.78,6.22,92.83,-1.56,34,29,9.99,8.52,53.97,100.07,99.05,13,9,3.82,2.64,59.09,50.76,0
ALEX.PIETRANGELO,20112012,81,1369.56,1392,1136,60.98,49.77,55.06,3.38,96.83,1054,842,46.18,36.89,55.59,4.46,95.72,715,613,31.32,26.86,53.84,6.57,94.13,62.95,51.27,2.76,2.25,55.11,5.97,93.91,1.81,207,178,9.07,7.8,53.77,100.7,99.88,47,36,2.06,1.58,56.63,50.34,6
ALEX.PIETRANGELO,20122013,80.29166667,1402.319583,1294.916667,1185.583333,55.4,50.73,52.2,4.75,95.1,956.6666667,843.9166667,40.93,36.11,53.13,6.43,93.12,703.8333333,608.1666667,30.11,26.02,53.65,8.74,90.45,31.9,32.39,2.33,2.37,49.62,5.7,93.44,-0.33,167.4166667,184.5,7.16,7.89,47.57,99.19,99.14,61.5,58.08333333,2.63,2.49,51.43,52.84,27.33333333
ALEX.PIETRANGELO,20132014,81,1404.24,1466,1206,62.64,51.53,54.87,4.77,95.94,1092,907,46.66,38.75,54.63,6.41,94.6,744,633,31.79,27.05,54.03,9.41,92.26,62.94,50.5,2.69,2.16,55.48,5.76,94.43,0.17,201,168,8.59,7.18,54.47,101.67,100.2,70,49,2.99,2.09,58.82,52.14,15
ALEX.PIETRANGELO,20142015,81,1464.83,1350,1339,55.3,54.85,50.2,4.3,95.74,1043,980,42.72,40.14,51.56,5.56,94.18,740,711,30.31,29.12,51,7.84,91.98,59.25,60.52,2.43,2.48,49.47,5.68,93.82,0.36,175,197,7.17,8.07,47.04,99.82,99.5,58,57,2.38,2.33,50.43,52.59,-2
ALEX.PIETRANGELO,20152016,73,1371.11,1340,1285,58.64,56.23,51.05,3.88,96.96,998,963,43.67,42.14,50.89,5.21,95.95,757,706,33.13,30.89,51.74,6.87,94.48,61.86,57.44,2.71,2.51,51.85,6.2,94.03,1.92,217,193,9.5,8.45,52.93,101.35,100.23,52,39,2.28,1.71,57.14,49.93,4
ALEX.RADULOV,20112012,9,149.13,144,137,57.94,55.12,51.25,6.25,95.62,115,97,46.27,39.03,54.25,7.83,93.81,86,77,34.6,30.98,52.76,10.47,92.21,6.88,5.48,2.77,2.2,55.66,5.98,94.35,-0.54,23,21,9.25,8.45,52.27,102.67,100.33,9,6,3.62,2.41,60,50.41,1
ALEX.SEMIN,20112012,77,1037.01,1051,973,60.81,56.3,51.93,4.95,96.09,774,708,44.78,40.96,52.23,6.72,94.63,563,528,32.57,30.55,51.6,9.24,92.8,43.78,41.97,2.53,2.43,51.05,5.66,94.07,0.56,140,133,8.1,7.7,51.28,102.04,99.73,52,38,3.01,2.2,57.78,45.57,8
ALEX.SEMIN,20122013,75.16666667,1165.339583,1265.875,1248.791667,65.18,64.3,50.34,6.07,96.03,944.7083333,948.125,48.64,48.82,49.91,8.14,94.77,664.5416667,683.3333333,34.22,35.18,49.3,11.57,92.75,35.09,36.77,3.09,3.23,48.83,6.35,93.38,1.4,198.1666667,234.0416667,10.2,12.05,45.85,104.32,99.72,76.875,49.54166667,3.96,2.55,60.81,51.8,-10.25
ALEX.SEMIN,20132014,65,957.88,1118,906,70.03,56.75,55.24,3.76,96.14,824,685,51.61,42.91,54.61,5.1,94.89,554,482,34.7,30.19,53.47,7.58,92.74,49.11,42.38,3.08,2.65,53.68,5.96,93.81,1.08,162,144,10.15,9.02,52.94,100.32,99.77,42,35,2.63,2.19,54.55,52.69,12
