Player,Season,Age
JONATHAN.ERICSSON,20152016,31
BRENDAN.SMITH,20152016,26
MARC.STAAL,20152016,29
JOFFREY.LUPUL,20152016,32
ANDREAS.ATHANASIOU,20152016,21
ALEX.CHIASSON,20152016,25
ERIC.FEHR,20152016,30
JACK.SKILLE,20152016,28
PIERRE-EDOUARD.BELLEMARE,20152016,30
RYAN.GARBUTT,20152016,30
JACK.JOHNSON,20152016,29
SCOTTIE.UPSHALL,20152016,32
RADKO.GUDAS,20152016,25
DAVID.LEGWAND,20152016,35
JACOB.JOSEFSON,20152016,24
JAKE.MCCABE,20152016,22
TREVOR.VAN RIEMSDYK,20152016,24
BROOKS.LAICH,20152016,32
BRAYDEN.MCNABB,20152016,25
CHRIS.VANDEVELDE,20152016,28
ERIK.GUSTAFSSON,20152016,23
ANDREW.DESJARDINS,20152016,29
CODY.MCLEOD,20152016,31
ANDREW.COPP,20152016,21
DWIGHT.KING,20152016,26
JAKE.VIRTANEN,20152016,19
DEREK.MACKENZIE,20152016,34
WILLIAM.NYLANDER,20152016,19
CHRIS.WIDEMAN,20152016,26
CHRIS.NEIL,20152016,36
IIRO.PAKARINEN,20152016,24
MICHAEL.DEL ZOTTO,20152016,25
ANDY.GREENE,20152016,33
DMITRIJ.JASKIN,20152016,22
JOSH.JOORIS,20152016,25
DAN.HAMHUIS,20152016,33
NICK.SPALING,20152016,27
MICHAL.ROZSIVAL,20152016,37
RYAN.CARTER,20152016,32
BEAU.BENNETT,20152016,24
NICOLAS.DESLAURIERS,20152016,24
TEEMU.PULKKINEN,20152016,24
CHRIS.THORBURN,20152016,32
RADEK.FAKSA,20152016,22
MATT.HENDRICKS,20152016,34
MARC.METHOT,20152016,30
KYLE.CHIPCHURA,20152016,29
OSCAR.KLEFBOM,20152016,22
EVGENY.MEDVEDEV,20152016,33
JORDIE.BENN,20152016,28
DERYK.ENGELLAND,20152016,33
CHRISTIAN.EHRHOFF,20152016,33
JOSH.GORGES,20152016,31
JYRKI.JOKIPAKKA,20152016,24
DENNIS.SEIDENBERG,20152016,34
IAN.COLE,20152016,26
ALEXEI.EMELIN,20152016,29
CHRIS.TERRY,20152016,26
FRANK.VATRANO,20152016,21
KYLE.BRODZIAK,20152016,31
ERIK.CONDRA,20152016,29
NICK.COUSINS,20152016,22
QUINTON.HOWDEN,20152016,24
CEDRIC.PAQUETTE,20152016,22
JASON.GARRISON,20152016,31
BRANDON.DAVIDSON,20152016,24
ANDREAS.MARTINSEN,20152016,25
