Player,Season,G,A1,A2,A,P,P1,G60,A160,A260,A60,P60,P160,iCF,iCF60,iCSh%,iFF,iFF60,iFSh%,iSF,iSF60,iSh%,ixG,ixG60,ixFSh%,iSCF,iSCF60,iHF,iHA,iGVA,iTKA,iBLK,iFOW,iFOL,iFO%,iPENT,iPEND,iPENDIFF,iRB,iRS,Avg.DIST
ANDREI.MARKOV,20152016,1,16,7,23,24,17,0.04,0.7,0.31,1.01,1.05,0.75,207,9.08,0.48,116,5.09,0.86,73,3.2,1.37,3.1,0.14,2.68,4,0.18,44,78,67,27,114,0,0,0,11,5,-6,5,13,50.28
ANDREJ.MESZAROS,20112012,5,10,6,16,21,15,0.32,0.63,0.38,1.01,1.33,0.95,174,10.99,2.87,110,6.95,4.55,80,5.05,6.25,3.19,0.2,2.9,5,0.32,115,73,25,15,74,0,0,0,16,6,-10,1,7,48.4
ANDREJ.MESZAROS,20122013,0,1.708333333,0,1.708333333,1.708333333,1.708333333,0,0.39,0,0.39,0.39,0.39,49.54166667,11.33,0,25.625,5.86,0,20.5,4.69,0,0.683333333,0.16,2.66,0,0,27.33333333,20.5,10.25,1.708333333,37.58333333,0,0,0,1.708333333,1.708333333,0,1.708333333,0,45.45
ANDREJ.MESZAROS,20132014,6,7,7,14,20,13,0.47,0.55,0.55,1.1,1.57,1.02,151,11.85,3.97,91,7.14,6.59,68,5.34,8.82,2.71,0.21,2.98,5,0.39,61,48,24,11,58,0,0,0,11,5,-6,1,8,48.63
ANDREJ.MESZAROS,20142015,6,3,3,6,12,9,0.41,0.2,0.2,0.41,0.82,0.61,98,6.67,6.12,59,4.01,10.17,44,2.99,13.64,2,0.14,3.4,4,0.27,60,46,14,5,85,0,0,0,14,2,-12,1,5,45.87
ANDREJ.NESTRASIL,20142015,5,7,2,9,14,12,0.48,0.67,0.19,0.86,1.34,1.15,126,12.05,3.97,109,10.42,4.59,71,6.79,7.04,8.49,0.81,7.79,30,2.87,52,75,12,29,16,51,37,57.95,5,4,-1,12,4,25.2
ANDREJ.NESTRASIL,20152016,5,8,5,13,18,13,0.43,0.69,0.43,1.12,1.55,1.12,173,14.85,2.89,127,10.9,3.94,91,7.81,5.49,8.86,0.76,6.97,31,2.66,27,66,15,28,13,7,13,35,3,3,0,11,3,27.46
ANDREJ.SEKERA,20112012,2,4,4,8,10,6,0.11,0.22,0.22,0.44,0.56,0.33,148,8.21,1.35,97,5.38,2.06,66,3.66,3.03,3.32,0.18,3.42,7,0.39,53,106,22,22,68,0,0,0,7,4,-3,1,2,45.64
ANDREJ.SEKERA,20122013,3.416666667,6.833333333,6.833333333,13.66666667,17.08333333,10.25,0.2,0.39,0.39,0.79,0.98,0.59,107.625,6.18,3.17,61.5,3.53,5.56,44.41666667,2.55,7.69,2.596666667,0.15,4.23,8.541666667,0.49,34.16666667,87.125,30.75,10.25,92.25,0,0,0,3.416666667,3.416666667,0,3.416666667,1.708333333,45.08
ANDREJ.SEKERA,20132014,5,6,12,18,23,11,0.24,0.28,0.57,0.85,1.09,0.52,209,9.92,2.39,137,6.5,3.65,93,4.42,5.38,4.87,0.23,3.55,10,0.47,42,125,30,49,99,0,0,0,8,5,-3,8,11,44.81
ANDREJ.SEKERA,20142015,2,5,9,14,16,7,0.1,0.24,0.43,0.67,0.77,0.34,203,9.75,0.99,116,5.57,1.72,78,3.75,2.56,2.89,0.14,2.49,3,0.14,50,154,41,32,92,0,0,0,5,4,-1,4,4,49.86
ANDREJ.SEKERA,20152016,1,3,5,8,9,4,0.04,0.13,0.22,0.35,0.4,0.18,241,10.69,0.41,134,5.94,0.75,97,4.3,1.03,3.56,0.16,2.65,5,0.22,54,173,61,25,128,0,0,0,6,4,-2,2,11,47.74
ANDREJ.SUSTR,20132014,1,0,3,3,4,1,0.1,0,0.31,0.31,0.41,0.1,73,7.43,1.37,50,5.09,2,39,3.97,2.56,1.33,0.14,2.66,1,0.1,21,60,21,4,32,0,0,0,8,0,-8,3,2,46.87
ANDREJ.SUSTR,20142015,0,5,7,12,12,5,0,0.27,0.38,0.65,0.65,0.27,131,7.07,0,77,4.15,0,54,2.91,0,2.67,0.14,3.47,5,0.27,38,104,26,15,64,0,0,0,12,3,-9,2,6,41.22
ANDREJ.SUSTR,20152016,4,4,12,16,20,8,0.22,0.22,0.66,0.88,1.1,0.44,134,7.35,2.99,92,5.05,4.35,60,3.29,6.67,2.26,0.12,2.46,3,0.16,25,116,28,13,55,0,0,0,12,3,-9,3,5,48.6
ANDREW.AGOZZINO,20152016,0,0,1,1,1,0,0,0,0.81,0.81,0.81,0,11,8.91,0,5,4.05,0,3,2.43,0,0.34,0.28,6.85,1,0.81,8,5,1,0,4,23,21,52.27,0,0,0,2,0,28.35
ANDREW.ALBERTS,20112012,2,0,1,1,3,2,0.22,0,0.11,0.11,0.32,0.22,61,6.58,3.28,30,3.23,6.67,19,2.05,10.53,0.73,0.08,2.43,1,0.11,79,71,13,10,36,0,0,0,12,6,-6,1,1,51.87
ANDREW.ALBERTS,20122013,0,1.708333333,0,1.708333333,1.708333333,1.708333333,0,0.19,0,0.19,0.19,0.19,66.625,7.32,0,41,4.51,0,25.625,2.82,0,1.605833333,0.18,3.93,1.708333333,0.19,66.625,70.04166667,11.95833333,8.541666667,42.70833333,0,0,0,5.125,5.125,0,0,5.125,38.45
ANDREW.ALBERTS,20132014,0,0,0,0,0,0,0,0,0,0,0,0,13,11.17,0,7,6.02,0,5,4.3,0,0.21,0.18,3.04,0,0,6,9,4,0,7,0,0,0,0,0,0,0,0,38.85
ANDREW.BODNARCHUK,20152016,0,3,1,4,4,3,0,0.41,0.14,0.55,0.55,0.41,33,4.53,0,14,1.92,0,9,1.24,0,0.36,0.05,2.54,1,0.14,43,53,6,2,25,0,0,0,6,3,-3,0,1,51.82
